id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
f266298bbc,Listado General Jefcar 2026,1,44200-0K080/0k040 CREMALLERA TOYOTA HILUX VIGO 4WD 05-15 B/. 110.00,CREMALLERA TOYOTA HILUX VIGO 4WD 05-15,44200-0K080/0k040,110.0,Toyota,,,,2026-03-08T13:15:29.709736
0883c0ee3f,Listado General Jefcar 2026,1,44250-0K730 CREMALLERA TOYOTA HILUX REVO 15-23 B/. 125.00,CREMALLERA TOYOTA HILUX REVO 15-23,44250-0K730,125.0,Toyota,,,,2026-03-08T13:15:29.709765
569fef5e8a,Listado General Jefcar 2026,1,45510-42080/42030 CREMALLERA TOYOTA RAV4 06-18 B/. 67.95,CREMALLERA TOYOTA RAV4 06-18,45510-42080/42030,67.95,Toyota,,,,2026-03-08T13:15:29.709785
bf40a02217,Listado General Jefcar 2026,1,45510-52140 CREMALLERA TOYOTA YARIS ADV 06-13 B/. 65.00,CREMALLERA TOYOTA YARIS ADV 06-13,45510-52140,65.0,Toyota,,,,2026-03-08T13:15:29.709802
84acd76bee,Listado General Jefcar 2026,1,49001-8H910 CREMALLERA NISSAN XTRAIL T30 B/. 125.00,CREMALLERA NISSAN XTRAIL T30,49001-8H910,125.0,Nissan,,,,2026-03-08T13:15:29.709819
8e22b1fa9b,Listado General Jefcar 2026,1,49001-4KH0A CREMALLERA NISSAN FRONTIER NP300 B/. 129.95,CREMALLERA NISSAN FRONTIER NP300,49001-4KH0A,129.95,Nissan,,,,2026-03-08T13:15:29.709834
3ca9f6c1af,Listado General Jefcar 2026,1,48068-0K040 TIJERA INFERIOR RH TOYOTA HILUX VIGO 07-15 B/. 32.95,TIJERA INFERIOR RH TOYOTA HILUX VIGO 07-15,48068-0K040,32.95,Toyota,,,,2026-03-08T13:15:29.709865
95dac17516,Listado General Jefcar 2026,1,48069-0K040 TIJERA INFERIOR LH TOYOTA HILUX VIGO 07-15 B/. 32.95,TIJERA INFERIOR LH TOYOTA HILUX VIGO 07-15,48069-0K040,32.95,Toyota,,,,2026-03-08T13:15:29.709884
1fe5342820,Listado General Jefcar 2026,1,48610-0K040 TIJERA SUPERIOR DEL RH - VIGO 4WD UP/REVO 07-24 B/. 19.95,TIJERA SUPERIOR DEL RH - VIGO 4WD UP/REVO 07-24,48610-0K040,19.95,Vigo,,,,2026-03-08T13:15:29.709903
526c52e1ce,Listado General Jefcar 2026,1,48630-0K040 TIJERA SUPERIOR DEL LH - VIGO 4WD UP/REVO 07-24 B/. 19.95,TIJERA SUPERIOR DEL LH - VIGO 4WD UP/REVO 07-24,48630-0K040,19.95,Vigo,,,,2026-03-08T13:15:29.709923
0b70e49871,Listado General Jefcar 2026,1,48068-0K090 TIJERA INFERIOR RH TOYOTA HILUX REVO 16-24 B/. 34.95,TIJERA INFERIOR RH TOYOTA HILUX REVO 16-24,48068-0K090,34.95,Toyota,,,,2026-03-08T13:15:29.709943
4266343077,Listado General Jefcar 2026,1,48069-0K090 TIJERA INFERIOR LH TOYOTA HILUX REVO 16-24 B/. 34.95,TIJERA INFERIOR LH TOYOTA HILUX REVO 16-24,48069-0K090,34.95,Toyota,,,,2026-03-08T13:15:29.709961
e6488e1228,Listado General Jefcar 2026,1,54500-4KH1A TIJERA INFERIOR NISSAN NP300 2014-2024 RH B/. 39.95,TIJERA INFERIOR NISSAN NP300 2014-2024 RH,54500-4KH1A,39.95,Nissan,,2014-2024,,2026-03-08T13:15:29.709978
ab7f8d4365,Listado General Jefcar 2026,1,54501-4KH1A TIJERA INFERIOR NISSAN NP300 2014-2024 LH B/. 39.95,TIJERA INFERIOR NISSAN NP300 2014-2024 LH,54501-4KH1A,39.95,Nissan,,2014-2024,,2026-03-08T13:15:29.709997
07a40e5f24,Listado General Jefcar 2026,1,54524-4KH0A TIJERA SUPERIOR DELANTERA NISSAN NP300 RH B/. 19.95,TIJERA SUPERIOR DELANTERA NISSAN NP300 RH,54524-4KH0A,19.95,Nissan,,,,2026-03-08T13:15:29.710014
788822ba0e,Listado General Jefcar 2026,1,54525-4KH0A TIJERA SUPERIOR DELANTERA NISSAN NP300 LH B/. 19.95,TIJERA SUPERIOR DELANTERA NISSAN NP300 LH,54525-4KH0A,19.95,Nissan,,,,2026-03-08T13:15:29.710032
a8a365bee1,Listado General Jefcar 2026,1,54500-2S688 TIJERA INFERIOR DELANTERA NISSAN FRONTIER D23 RH B/. 37.95,TIJERA INFERIOR DELANTERA NISSAN FRONTIER D23 RH,54500-2S688,37.95,Nissan,,,,2026-03-08T13:15:29.710052
905ffde9d0,Listado General Jefcar 2026,1,54501-2S688 TIJERA INFERIOR DELANTERA NISSAN FRONTIER D23 LH B/. 37.95,TIJERA INFERIOR DELANTERA NISSAN FRONTIER D23 LH,54501-2S688,37.95,Nissan,,,,2026-03-08T13:15:29.710070
53bc550f15,Listado General Jefcar 2026,1,54524-2S686 TIJERA SUPERIOR DELANTERA NISSAN FRONTIER D23 RH B/. 19.95,TIJERA SUPERIOR DELANTERA NISSAN FRONTIER D23 RH,54524-2S686,19.95,Nissan,,,,2026-03-08T13:15:29.710087
ac1fc4622d,Listado General Jefcar 2026,1,54525-2S686 TIJERA SUPERIOR DELANTERA NISSAN FRONTIER D23 LH B/. 19.95,TIJERA SUPERIOR DELANTERA NISSAN FRONTIER D23 LH,54525-2S686,19.95,Nissan,,,,2026-03-08T13:15:29.710105
c5d10c7fe8,Listado General Jefcar 2026,1,48820-0K030 TERMINAL STABILIZER LINK TOYOTA HILUX/05-25/PRADO/02-19 RH B/. 4.95,TERMINAL STABILIZER LINK TOYOTA HILUX/05-25/PRADO/02-19 RH,48820-0K030,4.95,Toyota,,,,2026-03-08T13:15:29.710138
e9c656b3c9,Listado General Jefcar 2026,1,48810-0K010 TERMINAL STABILIZER LINK TOYOTA HILUX/05-25/PRADO/02-19 LH B/. 4.95,TERMINAL STABILIZER LINK TOYOTA HILUX/05-25/PRADO/02-19 LH,48810-0K010,4.95,Toyota,,,,2026-03-08T13:15:29.710156
907342d0ca,Listado General Jefcar 2026,1,54618-4KH0A TERMINAL STABILIZER LINK NISSAN NP300 FRONTIER D23/14-22 RH B/. 4.95,TERMINAL STABILIZER LINK NISSAN NP300 FRONTIER D23/14-22 RH,54618-4KH0A,4.95,Nissan,,,,2026-03-08T13:15:29.710174
